id,time,location,latitude,longitude,depth,magnitude,url
ci9020888,1997-08-21 16:36:47.200,"12km ENE of Hawthorne, Nevada",38.563,-118.489,7.629,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/ci9020888
nc519094,1997-08-29 15:48:20.150,Northern California,41.5856667,-120.594,44.438,4.15,https://earthquake.usgs.gov/earthquakes/eventpage/nc519094
usp00086wk,1997-08-30 11:41:27.900,western Montana,44.84,-111.498,3.8,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp00086wk
usp000877r,1997-09-06 23:38:00.910,Oklahoma,34.66,-96.435,5.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp000877r
ci9023014,1997-09-12 13:36:54.940,"42km E of Beatty, Nevada",36.887,-116.277,6.037,4.05,https://earthquake.usgs.gov/earthquakes/eventpage/ci9023014
ci9023927,1997-09-19 22:37:14.470,"12km SSE of Big Bear Lake, California",34.141,-116.856,8.674,4.11,https://earthquake.usgs.gov/earthquakes/eventpage/ci9023927
ci9024626,1997-09-28 15:57:22.950,"21km N of Yucca Valley, California",34.301,-116.452,6.543,4.42,https://earthquake.usgs.gov/earthquakes/eventpage/ci9024626
usp00088z1,1997-10-13 12:58:00.770,Gulf of California,27.173,-111.17,10.0,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp00088z1
usp00089hq,1997-10-24 08:35:17.870,Alabama,31.118,-87.339,10.0,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp00089hq
nc528522,1997-10-25 08:54:49.360,Northern California,39.6038333,-122.0625,14.739,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc528522
usp00089qj,1997-10-28 11:44:18.000,"St. Lawrence Valley region, Quebec, Canada",47.67,-69.91,11.7,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp00089qj
ci9029316,1997-11-02 08:34:22.300,"52km NNE of Dixon Lane-Meadow Creek, California",37.831,-118.238,-0.787,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/ci9029316
ci9029428,1997-11-02 15:03:04.180,"57km NNE of Dixon Lane-Meadow Creek, California",37.869,-118.207,4.213,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/ci9029428
ci9029492,1997-11-02 16:22:53.120,"56km NNE of Dixon Lane-Meadow Creek, California",37.86,-118.204,4.213,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/ci9029492
nc531880,1997-11-05 17:49:28.280,Northern California,39.9468333,-120.866,-0.909,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/nc531880
ci9030105,1997-11-05 23:00:08.180,"39km ENE of Big Pine, California",37.241,-117.86,4.472,4.21,https://earthquake.usgs.gov/earthquakes/eventpage/ci9030105
usp0008a5s,1997-11-06 02:34:33.000,"St. Lawrence Valley region, Quebec, Canada",46.8,-71.41,22.5,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008a5s
usp0008a73,1997-11-06 21:00:14.440,western Montana,45.818,-111.084,4.9,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008a73
ci9031307,1997-11-15 06:00:20.970,"37km ENE of Big Pine, California",37.233,-117.881,4.306,4.68,https://earthquake.usgs.gov/earthquakes/eventpage/ci9031307
nc536789,1997-11-22 12:06:55.980,"Long Valley area, California",37.6353333,-118.9178333,6.004,4.54,https://earthquake.usgs.gov/earthquakes/eventpage/nc536789
nc536903,1997-11-22 17:20:35.160,"Long Valley area, California",37.6365,-118.936,5.114,4.86,https://earthquake.usgs.gov/earthquakes/eventpage/nc536903
nc30152582,1997-11-22 18:10:59.460,"Long Valley area, California",37.636,-118.9486667,5.549,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/nc30152582
usp0008bcj,1997-11-26 15:38:54.920,"Baja California, Mexico",29.7,-113.881,10.0,5.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008bcj
nc539672,1997-11-30 21:17:05.440,"Long Valley area, California",37.6358333,-118.9448333,4.574,4.88,https://earthquake.usgs.gov/earthquakes/eventpage/nc539672
ci9033757,1997-12-05 17:04:38.920,"8km NNE of Yucaipa, California",34.097,-116.996,3.069,4.08,https://earthquake.usgs.gov/earthquakes/eventpage/ci9033757
nc51034902,1997-12-08 12:22:04.350,Central California,37.425,-119.4391667,16.186,4.02,https://earthquake.usgs.gov/earthquakes/eventpage/nc51034902
ci9034200,1997-12-09 01:10:12.620,"7km WSW of Delta, B.C., MX",32.337,-115.263,5.997,4.01,https://earthquake.usgs.gov/earthquakes/eventpage/ci9034200
nc544051,1997-12-15 22:42:42.110,offshore Northern California,40.3165,-124.5551667,21.296,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc544051
nc544743,1997-12-18 21:19:35.230,offshore Northern California,40.2916667,-124.5095,4.306,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/nc544743
nc30159197,1997-12-29 20:02:32.690,"Long Valley area, California",37.6023333,-118.9128333,5.804,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc30159197
ci9036954,1997-12-31 12:22:45.060,"10km WSW of Niland, California",33.192,-115.608,10.282,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/ci9036954
nc30159902,1997-12-31 20:36:47.340,"Long Valley area, California",37.632,-118.8693333,4.232,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/nc30159902
usp0008dkt,1998-01-02 00:05:58.190,Nevada,37.278,-115.157,5.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008dkt
uu50151710,1998-01-02 07:28:29.490,Utah,38.2413333,-112.5276667,11.96,4.44,https://earthquake.usgs.gov/earthquakes/eventpage/uu50151710
nc549582,1998-01-05 14:11:12.890,"Long Valley area, California",37.633,-118.8716667,4.262,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc549582
ci9038699,1998-01-05 18:14:06.480,"7km SE of Chino Hills, California",33.951,-117.709,11.356,4.29,https://earthquake.usgs.gov/earthquakes/eventpage/ci9038699
nc552764,1998-01-20 14:35:43.300,offshore Northern California,40.3465,-124.8513333,5.996,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/nc552764
usp0008eqq,1998-01-20 16:33:06.500,western Montana,47.954,-115.051,7.2,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008eqq
usp0008fjp,1998-02-06 15:53:48.670,"Isla Angel de la Guarda, Baja California, Mexico",29.055,-113.148,10.0,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008fjp
nc557233,1998-02-17 22:08:39.360,Northern California,39.8578333,-120.511,-1.01,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc557233
ci9042967,1998-02-18 14:29:32.310,"70km SW of Alberto Oviedo Mota, B.C., MX",31.814,-115.727,5.62,4.86,https://earthquake.usgs.gov/earthquakes/eventpage/ci9042967
usp0008gh0,1998-02-24 11:31:48.780,"Baja California, Mexico",31.235,-115.601,12.0,4.6,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008gh0
usp0008ghy,1998-02-25 00:50:37.000,Nevada,38.239,-118.389,11.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008ghy
ci9044494,1998-03-06 05:47:40.340,"28km E of Coso Junction, California",36.067,-117.638,0.334,5.23,https://earthquake.usgs.gov/earthquakes/eventpage/ci9044494
ci3298168,1998-03-06 05:49:43.760,"28km ENE of Little Lake, California",36.061,-117.63,-0.54,4.85,https://earthquake.usgs.gov/earthquakes/eventpage/ci3298168
ci3298170,1998-03-06 05:54:21.730,"29km E of Coso Junction, California",36.072,-117.625,-0.398,4.46,https://earthquake.usgs.gov/earthquakes/eventpage/ci3298170
ci9044650,1998-03-06 07:36:35.450,"27km E of Coso Junction, California",36.062,-117.647,0.644,4.44,https://earthquake.usgs.gov/earthquakes/eventpage/ci9044650
ci9045109,1998-03-07 00:36:46.840,"30km E of Coso Junction, California",36.076,-117.618,0.234,5.04,https://earthquake.usgs.gov/earthquakes/eventpage/ci9045109
ci3298191,1998-03-07 00:37:44.400,"29km E of Coso Junction, California",36.074,-117.623,-1.44,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/ci3298191
ci3298292,1998-03-11 12:18:51.830,"4km SE of Loma Linda, California",34.024,-117.23,14.421,4.45,https://earthquake.usgs.gov/earthquakes/eventpage/ci3298292
usp0008hre,1998-03-20 10:43:04.540,Nevada,37.854,-118.197,5.0,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008hre
usp0008k9d,1998-04-15 02:28:35.450,western Montana,48.008,-113.748,4.3,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008k9d
usp0008kgz,1998-04-18 16:22:52.000,"Ontario-Quebec border region, Canada",45.57,-74.99,18.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008kgz
usp0008kwg,1998-04-24 16:17:27.000,Nevada,38.47,-118.41,6.7,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008kwg
nc30176079,1998-05-28 20:31:32.990,Central California,36.8111667,-121.5411667,7.85,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/nc30176079
nc30177872,1998-06-09 05:24:40.160,Central California,37.5885,-118.7956667,4.557,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc30177872
nc30179574,1998-06-15 01:59:22.390,Northern California,37.0388333,-121.4776667,7.95,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/nc30179574
usp0008q6n,1998-06-20 21:16:21.000,Wyoming,43.28,-110.68,0.0,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008q6n
ci9057864,1998-06-21 15:32:54.610,"16km SSE of Lemoore, California",36.158,-119.742,5.881,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/ci9057864
nc30181280,1998-06-24 12:41:05.720,Central California,37.5888333,-118.7835,5.719,4.05,https://earthquake.usgs.gov/earthquakes/eventpage/nc30181280
ci9058934,1998-07-02 03:39:50.450,"51km NW of Stovepipe Wells, California",36.945,-117.525,4.646,4.75,https://earthquake.usgs.gov/earthquakes/eventpage/ci9058934
ci9059928,1998-07-09 06:33:23.870,"146km SSW of San Clemente Is. (SE tip), California",31.541,-118.67,5.801,4.84,https://earthquake.usgs.gov/earthquakes/eventpage/ci9059928
ci9060065,1998-07-10 21:29:13.760,"10km NNE of Ocotillo Wells, California",33.224,-116.088,12.252,4.07,https://earthquake.usgs.gov/earthquakes/eventpage/ci9060065
nc30184459,1998-07-15 04:53:19.260,Central California,37.5638333,-118.806,3.706,4.9,https://earthquake.usgs.gov/earthquakes/eventpage/nc30184459
nc30186109,1998-07-21 08:38:49.860,Northern California,40.6256667,-122.409,22.8,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/nc30186109
nc30188256,1998-08-01 06:01:43.930,Central California,37.5698333,-118.7913333,1.781,4.06,https://earthquake.usgs.gov/earthquakes/eventpage/nc30188256
nc30188594,1998-08-02 14:45:45.470,Central California,37.5723333,-118.797,4.416,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc30188594
nc30189282,1998-08-05 13:44:28.740,Central California,37.5815,-118.79,1.933,4.12,https://earthquake.usgs.gov/earthquakes/eventpage/nc30189282
usp0008sz7,1998-08-08 18:39:54.470,Gulf of California,25.814,-110.453,10.0,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008sz7
nc30190473,1998-08-12 14:10:25.140,Central California,36.7545,-121.4615,8.822,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc30190473
usp0008t79,1998-08-13 18:51:19.750,southern Idaho,44.493,-114.19,5.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008t79
ci9064093,1998-08-16 13:34:40.230,"14km S of Big Bear Lake, California",34.121,-116.928,4.604,4.78,https://earthquake.usgs.gov/earthquakes/eventpage/ci9064093
ci9064568,1998-08-20 23:49:58.440,"2km NW of Wrightwood, California",34.374,-117.648,7.426,4.4,https://earthquake.usgs.gov/earthquakes/eventpage/ci9064568
usp0008tru,1998-08-23 18:16:16.340,Wyoming,43.842,-111.025,5.0,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008tru
usp0008vh3,1998-09-25 19:52:52.070,Pennsylvania,41.495,-80.388,5.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008vh3
ci7112721,1998-10-01 18:18:15.960,"14km NE of Yucaipa, California",34.111,-116.92,3.175,4.63,https://earthquake.usgs.gov/earthquakes/eventpage/ci7112721
uw10454828,1998-10-09 16:43:08.290,Washington,46.2036667,-120.7083333,2.459,4.0,https://earthquake.usgs.gov/earthquakes/eventpage/uw10454828
nc30201983,1998-10-15 05:05:46.710,Northern California,40.8363333,-123.5546667,24.64,4.2,https://earthquake.usgs.gov/earthquakes/eventpage/nc30201983
ci9069505,1998-10-20 02:48:57.100,"29km SW of Alberto Oviedo Mota, B.C., MX",32.058,-115.406,5.99,4.17,https://earthquake.usgs.gov/earthquakes/eventpage/ci9069505
nc30202875,1998-10-21 08:31:01.510,Northern California,39.7378333,-120.6495,-1.041,4.27,https://earthquake.usgs.gov/earthquakes/eventpage/nc30202875
ci9069997,1998-10-27 01:08:40.650,"7km N of Big Bear City, California",34.323,-116.844,4.078,4.82,https://earthquake.usgs.gov/earthquakes/eventpage/ci9069997
ci9070083,1998-10-27 15:40:17.060,"7km N of Big Bear City, California",34.32,-116.85,2.468,4.09,https://earthquake.usgs.gov/earthquakes/eventpage/ci9070083
usp0008x5t,1998-10-28 03:11:54.410,western Montana,45.702,-112.132,5.0,4.3,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008x5t
nc30204269,1998-10-30 09:53:31.570,Northern California,39.2843333,-120.0453333,1.258,4.8,https://earthquake.usgs.gov/earthquakes/eventpage/nc30204269
usp0008xge,1998-11-02 14:24:04.280,"Baja California, Mexico",28.148,-112.81,10.0,4.5,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008xge
nc30207228,1998-11-26 19:49:53.600,"7km NW of Redding, CA",40.6261667,-122.414,24.59,5.1,https://earthquake.usgs.gov/earthquakes/eventpage/nc30207228
nc30207262,1998-11-26 22:58:06.720,"5km NNW of Redding, CA",40.6166667,-122.3981667,24.65,4.62,https://earthquake.usgs.gov/earthquakes/eventpage/nc30207262
nc30207362,1998-11-28 04:41:15.320,Northern California,40.6168333,-122.3996667,23.489,4.19,https://earthquake.usgs.gov/earthquakes/eventpage/nc30207362
usp0008zgf,1998-12-12 01:41:32.000,Nevada,37.51,-116.29,0.0,4.1,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008zgf
nc30209339,1998-12-14 05:54:09.500,Central California,37.5296667,-118.8105,4.621,4.03,https://earthquake.usgs.gov/earthquakes/eventpage/nc30209339
